T,ENC,IMU,Lag,ENC_RAW
2416,0.00,0.01,4.9,275
2419,0.00,0.01,5.0,275
2423,0.00,0.01,3.6,275
2426,0.00,0.01,4.6,275
2430,0.00,0.01,3.0,275
2434,0.00,0.01,5.2,275
2437,0.00,0.01,5.2,275
2440,0.00,0.01,3.6,275
2444,0.00,0.01,4.8,275
2447,0.00,0.01,5.7,275
2452,0.00,0.01,5.9,275
2455,0.00,0.01,5.3,275
2459,0.00,0.01,4.5,275
2462,0.00,0.01,3.2,275
2466,0.00,0.01,4.4,275
2470,0.00,0.01,4.0,275
2473,0.00,0.01,4.2,275
2477,0.00,0.01,5.2,275
2480,0.00,0.01,3.6,275
2484,0.00,0.01,5.2,275
2488,0.00,0.01,3.8,275
2492,0.00,0.01,5.2,275
2495,0.00,0.01,5.9,275
2499,0.00,0.01,4.5,275
2502,0.00,0.01,3.2,275
2506,0.00,0.01,4.4,275
2512,0.00,0.01,5.8,275
2516,0.00,0.01,4.4,275
2520,0.00,0.01,3.6,275
2524,0.00,0.01,4.6,275
2527,0.00,0.01,3.2,275
2531,0.00,0.01,4.8,275
2535,0.00,0.01,5.7,275
2538,0.00,0.01,4.1,275
2542,0.00,0.01,2.8,275
2546,0.00,0.01,4.2,275
2549,0.00,0.01,2.5,275
2553,0.00,0.01,3.3,275
2556,0.00,0.01,4.6,275
2559,0.00,0.01,3.0,275
2563,0.00,0.01,4.2,275
2566,0.00,0.01,5.2,275
2570,0.00,0.01,3.6,275
2574,0.00,0.01,4.6,275
2577,0.00,0.01,3.2,275
2581,0.00,0.01,3.9,275
2584,0.00,0.01,5.3,275
2587,0.00,0.01,3.8,275
2591,0.00,0.01,4.8,275
2594,0.00,0.01,4.2,275
2610,0.00,0.01,4.1,275
2614,0.00,0.01,4.5,275
2620,0.00,0.01,5.5,275
2623,0.00,0.01,4.3,275
2627,0.00,0.01,2.8,275
2630,0.00,0.01,4.2,275
2634,0.00,0.01,5.0,275
2637,0.00,0.01,3.6,275
2641,0.00,0.01,4.6,275
2644,0.00,0.01,3.2,275
2648,0.00,0.01,4.2,275
2651,0.00,0.01,5.3,275
2655,0.00,0.01,6.3,275
2658,0.00,0.01,4.5,275
2662,0.00,0.01,3.2,275
2666,0.00,0.01,4.8,275
2669,0.00,0.01,3.4,275
2673,0.00,0.01,4.4,275
2676,0.00,0.01,5.5,275
2680,0.00,0.01,3.8,275
2686,0.00,0.01,7.0,275
2690,0.00,0.01,3.7,275
2694,0.00,0.01,5.3,275
2697,0.00,0.01,3.8,275
2701,0.00,0.01,5.0,275
2704,0.00,0.01,3.3,275
2708,0.00,0.01,4.4,275
2711,0.00,0.01,5.3,275
2715,0.00,0.01,6.1,275
2718,0.00,0.01,4.5,275
2722,0.00,0.01,3.2,275
2726,0.00,0.01,4.7,275
2729,0.00,0.01,3.4,275
2733,0.00,0.01,4.4,275
2736,0.00,0.01,5.3,275
2740,0.00,0.01,3.8,275
2743,0.00,0.01,4.8,275
2747,0.00,0.01,3.4,275
2751,0.00,0.01,5.6,275
2754,0.00,0.01,5.3,275
2757,0.00,0.01,4.0,275
2761,0.00,0.01,5.2,275
2765,0.00,0.01,3.7,275
2768,0.00,0.01,4.8,275
2772,0.00,0.01,3.2,275
2776,0.00,0.01,4.6,275
2779,0.00,0.01,3.0,275
2783,0.00,0.01,3.7,275
2786,0.00,0.01,5.2,275
2789,0.00,0.01,3.6,275
2793,0.00,0.01,4.8,275
2797,0.00,0.01,6.5,275
2800,0.00,0.01,4.1,275
2804,0.00,0.01,5.3,275
2807,0.00,0.01,3.8,275
2811,0.00,0.01,4.8,275
2814,0.00,0.01,5.7,275
2817,0.00,0.01,4.3,275
2821,0.00,0.01,5.3,275
2825,0.00,0.01,4.7,275
2829,0.00,0.01,5.3,275
2832,0.00,0.01,3.7,275
2836,0.00,0.01,5.0,275
2839,0.00,0.01,3.4,275
2843,0.00,0.01,4.8,275
2885,0.00,0.01,42.0,275
2889,0.00,0.01,10.8,275
2898,0.00,0.01,6.9,275
2902,0.00,0.01,4.1,275
2906,0.00,0.01,5.5,275
2910,0.00,0.01,5.9,275
2913,0.00,0.01,4.9,275
2917,0.00,0.01,6.3,275
2920,0.00,0.01,4.5,275
2924,0.00,0.01,3.2,275
2928,0.00,0.01,5.0,275
2931,0.00,0.01,3.4,275
2936,0.00,0.01,5.2,275
2939,0.00,0.01,3.7,275
2943,0.00,0.01,4.8,275
2946,0.00,0.01,3.4,275
2950,0.00,0.01,3.9,275
2953,0.00,0.01,5.2,275
2957,0.00,0.01,3.8,275
2960,0.00,0.01,5.0,275
2964,0.00,0.01,4.8,275
2967,0.00,0.01,4.2,275
2970,0.00,0.01,5.0,275
2974,0.00,0.01,5.9,275
2977,0.00,0.01,4.3,275
2981,0.00,0.01,3.0,275
2985,0.00,0.01,4.1,275
2988,0.00,0.01,5.2,275
2991,0.00,0.01,3.8,275
2996,0.00,0.01,5.3,275
2999,0.00,0.01,3.9,275
3003,0.00,0.01,5.3,275
3007,0.00,0.01,3.9,275
3010,0.00,0.01,5.0,275
3014,0.00,0.01,3.4,275
3017,0.00,0.01,4.6,275
3021,0.00,0.01,3.0,275
3025,0.00,0.01,3.7,275
3028,0.00,0.01,5.2,275
